,Provincias,Ramas de actividad,periodo,Total
153,5,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,929338.0
154,5,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,929911.0
155,5,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,961361.0
156,5,Valor añadido bruto total,2021,2985737.0
157,5,Valor añadido bruto total,2020,2807189.0
158,5,Valor añadido bruto total,2019,3012341.0
159,5,Impuestos netos sobre los productos,2021,314373.0
160,5,Impuestos netos sobre los productos,2020,269215.0
161,5,Impuestos netos sobre los productos,2019,309053.0
162,6,"A. Agricultura, ganadería, silvicultura y pesca",2021,1114803.0
163,6,"A. Agricultura, ganadería, silvicultura y pesca",2020,828169.0
164,6,"A. Agricultura, ganadería, silvicultura y pesca",2019,957944.0
165,6,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1424693.0
166,6,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1284940.0
167,6,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1331190.0
168,6,C. - De las cuales: Industria manufacturera,2021,989504.0
169,6,C. - De las cuales: Industria manufacturera,2020,880772.0
170,6,C. - De las cuales: Industria manufacturera,2019,894518.0
171,6,F. Construcción,2021,712482.0
172,6,F. Construcción,2020,656761.0
173,6,F. Construcción,2019,766514.0
174,6,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2239124.0
175,6,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1925604.0
176,6,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2274580.0
177,6,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2390063.0
178,6,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2284369.0
179,6,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2278521.0
180,6,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3630016.0
181,6,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3639953.0
182,6,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3719584.0
183,6,Valor añadido bruto total,2021,11511181.0
184,6,Valor añadido bruto total,2020,10619796.0
185,6,Valor añadido bruto total,2019,11328333.0
186,6,Impuestos netos sobre los productos,2021,1212030.0
187,6,Impuestos netos sobre los productos,2020,1018458.0
188,6,Impuestos netos sobre los productos,2019,1162238.0
189,7,"A. Agricultura, ganadería, silvicultura y pesca",2021,154128.0
190,7,"A. Agricultura, ganadería, silvicultura y pesca",2020,148537.0
191,7,"A. Agricultura, ganadería, silvicultura y pesca",2019,181850.0
192,7,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1806386.0
193,7,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1674865.0
194,7,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1791348.0
195,7,C. - De las cuales: Industria manufacturera,2021,775341.0
196,7,C. - De las cuales: Industria manufacturera,2020,739139.0
197,7,C. - De las cuales: Industria manufacturera,2019,843963.0
198,7,F. Construcción,2021,2146768.0
199,7,F. Construcción,2020,2151854.0
200,7,F. Construcción,2019,2447974.0
201,7,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,8876564.0
